Daisy|9566990022|daisyhospitalcustomercare@gmail.com|Daisy Health Care Pvt Ltd|No 198 A Pranavi Complex 1st FloorKattoor StreetNear Womens Polytechnic|Papanaickenpalayam|Coimbatore|641037|Ayurvedic Hospitals(x)Ayurvedic Medicine Shops(x)Sexologist Doctors(x)Ayurvedic Doctors(x)Homeopathic Doctors(x)De Addiction Centres(x)Sexologist Doctors For Male(x)Weight Loss Centres(x)Health Check UP Centres(x)Ayurvedic Clinics(x)Ayurvedic Treatment Centres(x)Siddha Doctors(x)Alcohol De Addiction Centres(x)Doctors For Allergy(x)Sexologist Doctors For Female(x)Nature Cure Centres(x)Ayurvedic Doctors For Skin Treatment(x)Naturopath Doctors(x)Ayurvedic Doctors For Cancer Treatment(x)Paralysis Ayurvedic Doctors(x)Ayurvedic Sexologist Doctors(x)Weight Gain Centres(x)Weight Loss Doctors(x)Skin Treatment Homeopathic Doctors(x)Piles Ayurvedic Doctors(x)Drug De Addiction Centres(x)Homeopathic Doctors For Thyroid(x)Health Care Consultants(x)Hair Fall Ayurvedic Doctors(x)Ayurvedic Medicine Retailers(x)Ayurvedic Herbal Medicine Dealers(x)Ayurvedic Doctors For Liver Treatment(x)Homeopathic Doctors For Hair Loss(x)Neurological Ayurvedic Doctors(x)Ayurvedic Sexologist Doctors For Male(x)Weight Gain Product Retailers(x)Ayurvedic Health Centres(x)Ayurvedic Oil Dealers(x)Ayurvedic Doctors For Diabetes(x)Weight Loss Consultants(x)Ayurvedic Hair Treatment Services(x)Ayurvedic Doctors For Kidney Treatment(x)Doctors Unani(x)Homeopathic Sexologist Doctors(x)Ayurvedic Treatment Back Pain(x)Yoga Therapists(x)Asthma Ayurvedic Doctors(x)Ayurvedic Doctors For Kidney Stone(x)Doctors-Allergy,Asthma & Immunology(x)Weight Reduction Ayurvedic Doctors(x)Nature Therapist(x)Ayurvedic Sexologist Doctors For Female(x)Naturopath Consultants Doctors(x)Depression Naturopath Doctors(x)Doctors Therapist For Mentally Challenged(x)Homeopathic Doctors For Headache(x)Homeopathic Doctors For Autism(x)Ayurveda Therapy(x)Beauty Clinics For Naturopathy Treatment(x)Naturopath Doctors For Migrane(x)Smoking De Addiction Centres(x)Electro Homoeopathic Treatment(x)Obesity Naturopath Doctors(x)Ayurvedic Doctors For Fistula(x)Weight Gain Ayurvedic Doctors(x)Cancer Naturopath Doctors(x)Doctors For Constipation(x)Gastroenteritis Ayurvedic Doctors(x)Allergy Homeopathic Doctors(x)Homeopathic Doctors For Obesity(x)Ayurvedic Treatment Acidity(x)Cardiac Ayurvedic Doctors(x)Ayurvedic Doctors For Hair Problem(x)Ayurvedic Doctors For Pimple Treatment(x)Kidney Stone Naturopath Doctors(x)Diabetes Naturopath Doctors(x)Tobacco De Addiction Centres(x)Ayurvedic Treatment Of Asthma(x)Unani Physician Doctors(x)Ayurvedic Doctors For Throat Cancer Treatment(x)Ayurvedic Doctors For Breast Cancer Treatment(x)Ayurvedic Doctors For Gall Bladder Stone Treatment(x)Unani Sexologist Doctors For Female(x)Homeopathic Thyroid Doctors(x)Ayurvedic Doctors For Hypertension(x)Unani Sexologist Doctors(x)Ayurvedic Medicine Retailers For Menstrual Disorder(x)Unani Sexologist Doctors For Male(x)Unani Skin Doctors(x)Homeopathic Doctors For Polycystic Ovarian Syndrome(x)Obesity Unani Doctors(x)Ayurvedic Medicines For Kidney Stone(x)Angina Pectoris Ayurvedic Doctors(x)Naturopath Joint Pain Doctors(x)Naturopath Dermatologist Doctors(x)Naturopath Back Problem Doctors(x)Hyper Tension Doctors(x)Ayurvedic Treatment Centres For Obesity(x)Ayurvedic Treatment Neck Pain(x)Ayurvedic Treatment Menstural Problem(x)Ayurvedic Treatment Hair Growth(x)Ayurvedic Doctors For Chronic Diseases(x)Ayurvedic Treatment Allergy(x)Ayurvedic Medicine Retailers For Weight Loss-Weight Care(x)Ayurvedic Medicine Retailers For Weight Loss(x)Homeopathic Sexologist Doctors For Female(x)Homeopathic Sexologist Doctors For Male(x)Ayurvedic Treatment For Hair Fall(x)Ayurvedic Treatment Sleep Disorder(x)Infertility Ayurvedic Doctors(x)Insomnia Naturopath Doctors(x)Naturopath Doctors For Arthritis(x)Obesity Ayurvedic Doctors(x)Venereal Sexologist Doctors(x)Ayurvedic Treatment Arthritis(x)Ayurvedic Treatment Arthritis Rhumatic(x)|https://www.justdial.com/Coimbatore/Daisy-Health-Care-Pvt-Ltd-Near-Womens-Polytechnic-Papanaickenpalayam/0422PX422-X422-111229144621-P2P8_BZDET?xid=Q29pbWJhdG9yZSBTZXhvbG9naXN0IERvY3RvcnM=

Dr Naveen Balaji|8508570007|drnaveenbalaji@gmail.com|HERBOCARE HOSPITAL (Dr Naveen balaji)|84Vishvanathapuram Main StreetOpp - Kannan Departmental Sotores|Thudialur|Coimbatore|641034|Hospitals(x)General Physician Doctors(x)Gynaecologist & Obstetrician Doctors(x)ENT Doctors(x)Orthopaedic Surgeons(x)Veterinary Doctors(x)Urologist Doctors(x)Ayurvedic Medicine Shops(x)Sexologist Doctors(x)Ayurvedic Doctors(x)ENT Hospitals(x)Diabetologist Doctors(x)Pulmonologists Doctors(x)Ayurvedic Hospitals(x)Piles Doctors(x)Psychologist Doctors(x)Nephrologists(x)Cosmetic Surgeon Doctors(x)Private Hospitals(x)Ayurvedic Clinics(x)Ayurvedic Medicine Manufacturers(x)Hair Loss Doctors(x)Asthma Doctors(x)Ayurvedic Treatment Centres(x)Acupuncture Doctors(x)Siddha Doctors(x)Skin Hospitals(x)Ayurvedic Doctors For Skin Treatment(x)Infertility Doctors(x)Ayurvedic Doctors For Cancer Treatment(x)Cosmetologist Doctors(x)Gastrointestinal Doctors(x)Acupuncture Therapists(x)Ayurvedic Medicine Retailers(x)Hair Implant Doctors(x)Ayurvedic Pharmacy(x)Neurological Ayurvedic Doctors(x)Psychiatrist Doctors For Children(x)Ayurvedic Doctors For Diabetes(x)Herbal Medicine Retailers(x)Herbal Clinics(x)Weight Reduction Ayurvedic Doctors(x)Herbal(x)Cardiac Ayurvedic Doctors(x)Unani Physician Doctors(x)Ayurvedic Acupressure(x)Auricular Acupuncture Doctors(x)|https://www.justdial.com/Coimbatore/HERBOCARE-HOSPITAL-(Dr-Naveen-balaji)-Opp---Kannan-Departmental-Sotores-Thudialur/0422PX422-X422-130625001103-Z9M5_BZDET?xid=Q29pbWJhdG9yZSBTZXhvbG9naXN0IERvY3RvcnM=

Venkateswaran A|9095090444|natchiyarmedicalcentre@gmail.com|Natchiyar Mind Care|No 3/139Kumaran streetNear Maudhamalai adivaram|Maruthamalai|Coimbatore|641046|Psychiatrists(x)Sexologist Doctors(x)Mental Hospitals(x)Psychologist Doctors(x)De Addiction Centres(x)Psychological Counselling(x)Psychologist Doctors For Children(x)Rehabilitation Centre For Alcoholic(x)Paediatric Psychiatrist Doctors(x)Depression Counselling Centres(x)Psychiatrist Doctors For Children(x)Neuro Psychiatrist(x)Old Age Psychiatrist Disorder Doctors(x)Attention Deficit Hyperactivity Disorder Doctors(x)Doctors Psychiatristspsychologists(x)|https://www.justdial.com/Coimbatore/Natchiyar-Mind-Care-Near-Maudhamalai-adivaram-Maruthamalai/0422P422STDG001660_BZDET?xid=Q29pbWJhdG9yZSBTZXhvbG9naXN0IERvY3RvcnM=

Paari|||Paari Clinic|No 259Sashtri RoadOpp To Central Bus Stand|Ram Nagar|Coimbatore|641009|Neurologists(x)Sexologist Doctors(x)Infertility Doctors(x)Doctors & Specialists(x)|https://www.justdial.com/COIMBATORE/Paari-Clinic-Opp-To-Central-Bus-Stand-Ram-Nagar/0422P422STD1301095_BZDET?xid=Q29pbWJhdG9yZSBTZXhvbG9naXN0IERvY3RvcnM=

Manek I A|9443897786|dr.iamanek@yahoo.com|Manek Dispensary|No 84/1Gokhale StreetOpposite To Senthil Kumaran Theatre|Ram Nagar|Coimbatore|641009|Psychiatrists(x)Urologist Doctors(x)Sexologist Doctors(x)Psychologist Doctors(x)Neuro Physician Doctors(x)Sexologist Doctors For Male(x)Sexologist Doctors For Female(x)Infertility Doctors(x)Infertility Clinics(x)Fertility Doctors(x)Doctors Unani(x)Unani Physician Doctors(x)Impotency Doctors(x)Unani Sexologist Doctors For Male(x)Unani Sexologist Doctors For Female(x)Unani Sexologist Doctors(x)|https://www.justdial.com/Coimbatore/Manek-Dispensary-Opposite-To-Senthil-Kumaran-Theatre-Ram-Nagar/0422PX422-X422-150521122035-R2Q3_BZDET?xid=Q29pbWJhdG9yZSBTZXhvbG9naXN0IERvY3RvcnM=

S Venkatesh|9600992603|drchettys@drchettys.com|Dr Chetty's Advanced Homoeopathy and Trichology Clinic|No 4 & 5Agraharam Vellalar Road|Singanallur|Coimbatore|641005|General Physician Doctors(x)ENT Doctors(x)Gynaecologist & Obstetrician Doctors(x)Urologist Doctors(x)Sexologist Doctors(x)Homeopathic Doctors(x)Homeopathic Medicine Retailers(x)Piles Doctors(x)Diabetologist Doctors(x)Psychologist Doctors(x)Neuro Physician Doctors(x)Nephrologists(x)Trichologist Doctors(x)Thyroid Doctors(x)Homeopathic Clinics(x)Hair Loss Doctors(x)Rheumatologist Doctors(x)Sexologist Doctors For Male(x)Asthma Doctors(x)Hepatologist Doctors(x)Doctors For Allergy(x)Paralysis Doctors(x)Sexologist Doctors For Female(x)Tuberculosis Doctors(x)Psychotherapy Doctors(x)Psychologist Doctors For Children(x)Headache Doctors(x)Gastrointestinal Doctors(x)Breast Specialist Doctors(x)Paediatric Orthopaedic Doctors(x)Infertility Doctors(x)Arthritis Doctors(x)Appendix Doctors(x)Neuropsychiatrist Doctors(x)Skin Treatment Homeopathic Doctors(x)Breast Cancer Doctors(x)Andrologist Doctors(x)Migraine Therapy Doctors(x)Gall Bladder Stone Removal Doctors(x)Doctors Joint Pains(x)Weight Loss Doctors(x)Paediatric Cardiologist Doctors(x)Homeopathic Doctors For Height Increase(x)Ulcer Doctors(x)Homeopathic Doctors For Piles(x)Doctors For Mentally Challenged(x)Gastroenteritis Homeopathic Doctors(x)Homeopathic Doctors For Hair Loss(x)Psoriasis Doctors(x)Homeopathic Paediatrician Doctors(x)Homeopathic Doctors For Thyroid(x)Pain Relief Doctors(x)Homeopathic ENT Doctors(x)Homeopathic Doctors For Paralysis(x)Homeopathic Doctors For Asthma(x)Homeopathic Neurology Doctors(x)Homeopathic Doctors For Kidney Stone(x)Homeopathic Rheumatologist Doctors(x)Clinical Psychologist Doctors(x)Homeopathic Cardiologist Doctors(x)Psychiatrist Doctors For Children(x)Doctors For Constipation(x)Homeopathic Doctors For Ulcer(x)Homeopathic Psychiatrist Doctors(x)Homeopathic Veterinary Doctors(x)Fertility Doctors(x)Doctors Epilepsy(x)Homeopathic Gynaecology Doctors(x)Hepatitis Doctors(x)Tonsiltis Doctors(x)Homeopathic Doctors For Migraine(x)Slip Disc Doctors(x)Doctors For Hair Loss(x)Gastroenteritis Doctors(x)Vertigo Doctors(x)Homeopathic Psychologist Doctors(x)Hyper Tension Doctors(x)Doctors For Treatment Of Fissures(x)Pimples Treatment Homeopathic Doctors(x)Homeopathic Doctors For Polycystic Ovarian Syndrome(x)Homeopathic Doctors For Psoriasis(x)Homeopathic Doctors For Kidney Failure(x)Vitiligo Doctors(x)Therapist Doctors(x)Homeopathic Consultants(x)Homeopathic Doctors For Digestive Problem(x)Allergy Homeopathic Doctors(x)Homeopathic Doctors For Weight Gain(x)Diabetes Homeopathic Doctors(x)Tumor Doctors(x)Homeopathic Doctors For Genetic Disease(x)Corn Doctors(x)Homeopathic Sexologist Doctors For Female(x)Homeopathic Sexologist Doctors(x)Homeopathic Doctors For Acne Treatment(x)Homeopathic Doctors For Arthritis(x)Homeopathic Doctors For Tuberculosis(x)Alopecia Doctors(x)Psychological Sexual Disorder Doctors(x)Homeopathic Doctors For Parkinson Disease(x)Phobia Doctors(x)Parkinson Disease Doctors(x)Homeopathic Doctors For Weight Reduction(x)Geriatrician Doctors(x)Homeopathic Doctors For Pyria(x)Homeopathic Physician Doctors(x)Hair Transplantation Homeopathic Doctors(x)Doctors For Alzheimer Disease(x)Fibroid Doctors(x)Renal Doctors(x)Homeopathic Sexologist Doctors For Male(x)Leucoderma Doctors(x)Keloid Doctors(x)Homeopathic Doctors For Hyperacidity(x)Homeopathic Doctors For Chronic Coryza(x)Homeopathic Doctors For Hemophilia(x)Homeopathic Doctors For Sickle Cell Anaemia(x)Impotency Doctors(x)Hydrocoele Doctors(x)Homeopathic Doctors For Fissure(x)Homeopathic Doctors For Eczema(x)|https://www.justdial.com/Coimbatore/Dr-Chettys-Advanced-Homoeopathy-and-Trichology-Clinic-Vellalar-Road-Singanallur/0422PX422-X422-150401143147-F7B3_BZDET?xid=Q29pbWJhdG9yZSBTZXhvbG9naXN0IERvY3RvcnM=

Balaji V|9159937993|drbalajimd@gmail.com|B K Health Care|No 273 Kanji Building3rd Street Cross Cut 100 Feet RoadOpposite Kamala Stores|Gandhipuram|Coimbatore|641012|Hospitals(x)General Physician Doctors(x)Gynaecologist & Obstetrician Doctors(x)Diagnostic Centres(x)Urologist Doctors(x)Sexologist Doctors(x)Sonography Centres(x)Homeopathic Doctors(x)Ayurvedic Doctors(x)Piles Doctors(x)Multispeciality Hospitals(x)Psychologist Doctors(x)Ayurvedic Hospitals(x)Nursing Homes(x)Nephrologists(x)Cosmetic Surgeon Doctors(x)De Addiction Centres(x)Blood Collection Centres(x)Private Hospitals(x)On Call Doctor(x)Diagnostic Centre Scan(x)Sexologist Doctors For Male(x)Rheumatologist Doctors(x)Dialysis Centres(x)Asthma Doctors(x)Ayurvedic Treatment Centres(x)Health Check UP Centres(x)Hepatologist Doctors(x)Ayurvedic Clinics(x)Blood Testing Centres(x)Radiologist Doctors(x)Alcohol De Addiction Centres(x)Doctors For Allergy(x)Health Care Centres(x)Siddha Doctors(x)Ayurvedic Treatment Centres For Panchakarma(x)Acupuncture Doctors(x)Ayurvedic Doctors For Skin Treatment(x)Nutrition Centres(x)Surgeon Doctors(x)Headache Doctors(x)Slimming Centres(x)Acupressure Doctors(x)Panchakarma Healing(x)Ayurvedic Doctors For Cancer Treatment(x)Hospital Siddha(x)Super Speciality Hospitals(x)Infertility Doctors(x)24 Hours Diagnostic Centres(x)Ayurvedic Sexologist Doctors(x)ECG Testing Labs(x)Acupressure Therapists(x)Drug De Addiction Centres(x)24 Hours Blood Testing Centres(x)Andrologist Doctors(x)Rehabilitation Centre For Alcoholic(x)Skin Treatment Homeopathic Doctors(x)Neurological Ayurvedic Doctors(x)Doctors Endocrinology(x)Cosmetologist Doctors(x)Migraine Therapy Doctors(x)Piles Ayurvedic Doctors(x)ENT Ayurvedic Doctors(x)Acupuncture Therapists(x)Siddha Clinics(x)Hernia Doctors(x)Homeopathic Doctors For Hair Loss(x)Homeopathic Doctors For Piles(x)Homeopathic Doctors For Thyroid(x)Homeopathic Paediatrician Doctors(x)Asthma Ayurvedic Doctors(x)Homeopathic Doctors For Paralysis(x)Ophthalmologist Ayurvedic Doctors(x)Homeopathic Neurology Doctors(x)Homeopathic Doctors For Asthma(x)Homeopathic Doctors For Kidney Stone(x)Homeopathic Psychiatrist Doctors(x)Ayurvedic Doctors For Diabetes(x)Homeopathic Gynaecology Doctors(x)Homeopathic Cardiologist Doctors(x)Homeopathic Veterinary Doctors(x)Cancer Homeopathic Doctors(x)Psoriasis Ayurvedic Doctors(x)Ayurvedic Gynaecologist Doctors(x)Gastroenteritis Ayurvedic Doctors(x)Homeopathic Doctors For Psoriasis(x)Homeopathic Sexologist Doctors(x)Ayurvedic Sexologist Doctors For Male(x)Pimples Treatment Homeopathic Doctors(x)Homeopathic Physician Doctors(x)Arthritis Ayurvedic Doctors(x)Homeopathic Doctors For Polycystic Ovarian Syndrome(x)Homeopathic Doctors For Kidney Failure(x)Homeopathic Doctors For Autism(x)Homeopathic Doctors For Genetic Disease(x)Homeopathic Psychologist Doctors(x)Homeopathic Doctors For Arthritis(x)Homeopathic Doctors For Hyperacidity(x)Homeopathic Doctors For Csom(x)Homeopathic Doctors For Tuberculosis(x)Homeopathic Doctors For Pyria(x)Homeopathic Doctors For Hemophilia(x)Homeopathic Doctors For Fistula(x)Homeopathic Doctors For Sickle Cell Anaemia(x)Homeopathic Doctors For Chronic Coryza(x)Homeopathic Doctors For Fissure(x)Homeopathic Doctors For Tinnitus(x)Alternative Medicines(x)Immunocompromised Homeopathic Doctors(x)Homeopathic Doctors For Leucoderma(x)Osteoarthritis Ayurvedic Doctors(x)Infertility Ayurvedic Doctors(x)Cardiac Ayurvedic Doctors(x)Diabetes Homeopathic Doctors(x)Hair Transplantation Homeopathic Doctors(x)Skin Pigmentation Homeopathic Doctors(x)Homeopathic Doctors For Obesity(x)Homeopathic Doctors For Acne Treatment(x)Dermatitis Homeopathic Doctors(x)Homeopathic Doctors For Spondylitis(x)Homeopathic Doctors For Chronic Disease(x)Ayurvedic Treatment Kerala Panchakarma Paralysis(x)Auricular Acupuncture Doctors(x)Homeopathic Sexologist Doctors For Male(x)Homeopathic Sexologist Doctors For Female(x)Fertility Homeopathic Doctors(x)|https://www.justdial.com/Coimbatore/B-K-Health-Care-Opposite-Kamala-Stores-Gandhipuram/0422PX422-X422-130504114402-M9D9_BZDET?xid=Q29pbWJhdG9yZSBTZXhvbG9naXN0IERvY3RvcnM=

